# "asas_sn_id":12702,"gaia_id":5211052415435948544,"pstarrs_g_mag":13.1350002289,"g_mag_abs":20.6539014276,"name":"VX Men"
jd,flux,flux_err,mag,mag_err,limit,fwhm,cam,asas_sn_id
2458508.7131446,24.5482379787752,0.1208796768315572,12.925014810213968,0.00535235780227413,16.946757385796328,1.37,bi,12702
2458121.6504485,19.419040552957448,0.11617300686057055,13.179496200583177,0.006502638846279698,16.98987753599942,1.52,bi,12702
2458438.7388406,24.46806933963187,0.08750334674270378,12.928566365864702,0.003887202218359144,17.29757895191232,1.54,bj,12702
2458807.81242,25.82334922802653,0.11446776329859547,12.870034200876006,0.004818177562779604,17.0059326194847,1.60,bj,12702
2458489.7684485,16.50481517742756,0.11785590055630935,13.35603895873103,0.007761628249573963,16.974262284620234,1.50,bH,12702
2458392.8832292,15.59475652012398,0.13264221294078865,13.417619125942732,0.009245179187494906,16.84593621435936,1.43,bH,12702
2458489.7800035,16.41674696851746,0.10387322156301212,13.361847861149789,0.0068774694419357196,17.11138160843847,1.67,bj,12702
2458869.7911508,26.25840403015568,0.11002486278855335,12.851894806280146,0.004554436820460561,17.04891352236998,1.56,bj,12702
2458540.725459,17.682359769715116,0.1029012582635921,13.281215065813157,0.006325467597166531,17.121588898209723,1.51,bF,12702
2458591.4696963,22.28695918089753,0.1307978288384394,13.029938578161522,0.00637913642373956,16.861139273859006,1.69,bH,12702
2458107.5430015,24.156115258854012,0.08118499714578116,12.94249788943101,0.003653094099335156,17.378951162070905,1.53,bi,12702
2458854.5991651,19.924103398705274,0.09633452476614017,13.151618655048624,0.005255515787475801,17.19318571324892,1.44,bH,12702
2458837.7440729,19.040147977446654,0.08422326960767525,13.200889823933835,0.004808105078316333,17.339060368855982,1.59,bj,12702
2458853.6278259,16.56660770711968,0.10499669618968249,13.351981651310151,0.006888968804119762,17.09970152684267,1.56,bj,12702
2458168.6273574,22.404541109907154,0.06289142194155574,13.024225489494443,0.0030511779243982354,17.656162076425947,1.69,bi,12702
2458846.7650017,21.901262666087703,0.053998214731110473,13.048892737795336,0.002679923644545521,17.82169210749792,1.45,bE,12702
2458596.4897161,25.202899407978926,0.08978877140903692,12.896439357188232,0.003872431067637353,17.26958553870488,1.48,bE,12702
2458911.5790639,23.774505775650965,0.08866006462374888,12.959786878304715,0.004053486384532758,17.283320502647495,1.40,bi,12702
2458478.5744773,16.974619901149786,0.09470664044482355,13.325565476635994,0.0060644657189956284,17.211689533853804,1.38,bi,12702
2458540.6554323,24.54818410148467,0.08138391688911667,12.925017193138117,0.003603556941792311,17.37629414149291,1.52,bE,12702
2458214.4970035,25.75126643751759,0.1003585251622861,12.873069141431364,0.004236116064503089,17.148754935360543,1.58,bj,12702
2458569.5377566,22.438760684798005,0.06505427986175466,13.022568455462821,0.003151295865046717,17.619450927253503,1.58,bH,12702
2458499.6470852,18.466787935629252,0.10089980077954909,13.234087217350336,0.005938969835025226,17.142914839567148,1.61,bF,12702
2458419.827168,24.488153144951525,0.16334380083851477,12.927675540769076,0.007250347078284442,16.619883969077037,1.64,bF,12702
2458852.5724551,24.255228538980763,0.08709886368034093,12.938052194743996,0.003903186389741283,17.302609388692737,1.60,bj,12702
2458831.8548191,23.673313921054323,0.20309126424447363,12.964417979478128,0.009324903767801014,16.38341250371813,1.55,bE,12702
2458551.6029529,21.224053650830836,0.04617313051096081,13.08299478528493,0.0023646842475841656,17.99166731029576,1.58,bj,12702
2458144.5879453,15.270712481751554,0.11501562148516863,13.440417371541207,0.008186715585443581,17.00074853525247,1.46,bi,12702
2458809.7887566,20.163951268475152,0.0772848327478645,13.138626524332668,0.004166110692706605,17.432404932927902,1.54,bE,12702
2458397.8845518,22.629223334899358,0.07879042043712801,13.013391500669353,0.00378456476730359,17.411457066582436,1.57,bj,12702
2458320.9431091,24.518780746685316,0.12889688777799888,12.926318447078202,0.0057142039096341884,16.87703453289884,1.48,bi,12702
2458531.6153806,18.90425085096844,0.13557881215460896,13.208666943391181,0.007795509869334346,16.822161049917508,1.53,bj,12702
2458518.7794397,25.073387731056105,0.08828702310094375,12.902033080814533,0.0038273310560918766,17.28789842808778,1.59,bF,12702
2458518.6164391,24.495159159341295,0.0892075921454228,12.927364958116819,0.003958528027532083,17.276636068367594,1.39,bi,12702
2458803.8392494,22.716267402659817,0.11329147451806026,13.009223191524665,0.005420912903606227,17.017147538219536,1.45,bi,12702
2458693.9344966,24.5403114520985,0.1014284520977041,12.925365446652219,0.004492539457484223,17.137241117051172,1.47,bi,12702
2458596.4974463,23.53488805845367,0.06432183011618926,12.970785279868535,0.0029706974837245942,17.63174462975386,1.55,bF,12702
2458454.7907407,24.54756673429811,0.07801692151877423,12.925044498878215,0.003454558350679896,17.422168587882734,1.56,bF,12702
